den day
večer evening
víkend weekend
odpoledne afternoon
ráno morning
noc night
kluk boy
strom tree
člověk human
muž husband
stroj machine
hrad castle
dům house
František František
Matěj Matěj
holka girl
žena wife
ulice street
věc cause
láska love
Žofie Žofie
Kateřina Kateřina
město town
auto automobile
dítě child
víno wine
zvíře animal
děvče girl
moře sea
náměstí square
slovo word
chlapec boy
osoba person
hoch boy
automobil car
jméno name
mašina machine
manžel husband
manželka wife
dívka girl
věta sentence
jablko apple
sýr cheese
chléb bread
maso meat
mléko milk
voda water
pivo beer
káva coffee
polévka soup
hruška pear
žízeň thirst
hlad hunger
sůl salt
cukr sugar
kuře chicken
vajíčko egg
čaj tea
pes dog
myš mouse
kočka cat
ryba fish
žrádlo food
kůň horse
osel donkey
prase pig
kráva cow
koza goat
medvěd bear
vlk wolf
liška fox
kachna duck
pták bird
husa goose
slepice hen
pavouk spider
moucha fly
divadlo theater
jídlo meal
přítel boyfriend
přítelkyně girlfriend
kniha book
časopis journal
barva paint
otec father
matka mother
rodina family
syn son
dcera daughter
dědeček grandfather
babička grandmother
bratr brother
sestra sister
bratranec cousin
strýc uncle
sestřenice cousin
teta aunt
rodič parent
sukně skirt
košile shirt
oblečení clothes
triko T-shirt
bota shoe
kalhoty pants
ponožka sock
svetr sweater
šaty dress
kabát coat
klobouk hat
bunda jacket
šperk jewel
hodina o'clock
čtvrt quarter
rok year
obývák room
kuchyně kitchen
ložnice bedroom
byt apartment
místnost room
koupelna bathroom
pohovka sofa
postel bed
stůl desk
pračka washer
sušička dryer
židle chair
nůž knife
lžíce spoon
talíř plate
záchod toilet
vidlička fork
šálek cup
okno window
dveře door
mýdlo soap
sklenice glass
televize television
lednička fridge
dopis letter
číslo number
minuta minute
pondělí Monday
úterý Tuesday
středa Wednesday
čtvrtek Thursday
pátek Friday
sobota Saturday
neděle Sunday
týden week
škola school
zahrada yard
nádraží station
letiště airport
kancelář office
obchod shop
hotel hotel
restaurace restaurant
pokoj room
sto hundred
koruna crown
euro euro
tisíc thousand
ruka arm
noha leg
krk neck
hlava head
tělo body
nos nose
vlas hair
oko eye
ucho ear
ústa mouth
zub tooth
prst finger
tvář face
obličej face
ret lip
kost bone
kůže skin
krev blood
oblek suit
měsíc moon
leden January
únor February
březen March
duben April
květen May
červen June
červenec July
srpen August
září September
říjen October
listopad November
prosinec December
zima winter
jaro spring
léto summer
podzim autumn/fall
místo place
cesta way
láhev bottle
oběd lunch
pláž beach
století century
narozeniny birthday
máma mom
táta dad
sourozenec sibling
Čechy Bohemia
Česko Republic
Evropa Europe
země land
Polsko Poland
Německo Germany
západ west
Slovensko Slovakia
soused neighbor
Morava Moravia
mapa map
Praha Prague
Rakousko Austria
jih south
kolo bicycle
jazyk tongue
počítač computer
Čech Czech
Češka Czech
Slovák Slovak
Slovenka Slovak
procento percent
Němec German
Angličan Englishman
Němka German
Polka Pole
Polák Pole
cizinka foreigner
cizinec foreigner
Angličanka Englishwoman
slovenština (language)
polština (language)
angličtina (language)
němčina (language)
čeština (language)
tužka pencil
nástroj tool
pero pen
hlas voice
vlak train
autobus bus
tramvaj tram
metro metro
motorka motocycle
letadlo airplane
pas passport
loď boat
turista tourist
kufr suitcase
stanice station
turistka tourist
rozdíl difference
práce job
student student
učitel teacher
učitelka teacher
podnikatelka businesswoman
firma company
lékařka doctor
odborník expert
odbornice expert
šéfka boss
podnikatel businessman
kolega colleague
kolegyně colleague
umělkyně artist
soudce judge
soudkyně judge
prezident president
továrna factory
dělník worker
zaměstnání work
ředitel director
zaměstnankyně employee
zaměstnanec employee
nádobí dishes
počasí weather
sníh snow
hora mountain
řeka river
nebe heaven
mrak cloud
slunce sun
hvězda star
jezero lake
příroda nature
vítr wind
východ east
les woods
houba mushroom
fotbal soccer/football
sport sport
gól goal
zápas match
hokej hockey
tým team
hráč player
lístek ticket
turnaj tournament
hráčka player
míč ball
hřiště field
otázka question
zpráva report
volby election
politika politics
vláda government
svět world
názor opinion
předseda chairman
strana side
zeď wall
fakt fact
slib promise
mluvčí spokesperson
pravda truth
lež lie
nenávist hate
mír peace
válka war
politik politician
sen dream
radost joy
rádio radio
vesnice village
matematika mathematics
úkol task
předmět object
pozor attention
známka stamp
třída classroom
chemie chemistry
fyzika physics
dějepis history
čas time
knihovna library
zkouška exam
odpověď answer
chyba mistake
prázdniny holiday
vysvědčení card
pravopis spelling
obor discipline
budoucnost future
znalost knowledge
nemocnice hospital
muzeum museum
bankomat ATM
adresa address
směr way
pošta office
most bridge
budova building
spropitné tip
pití drinking
servírka waitress
předkrm appetizer
hovězí beef
salát salad
vegetarián vegetarian
knedlík dumpling
rýže rice
zelí sauerkraut
vepřové pork
účet account
karta card
chodec pedestrian
přednost advantage
jízda ride
křižovatka intersection
silnice road
značka sign
předpis regulation
dálnice motorway
semafor light
cyklista cyclist
pruh stripe
zácpa jam
pokuta fine
parkoviště lot
problém problem
nehoda accident
smůla luck
motor engine
brzda brake
pumpa station
benzín gas
kopec hill
zatáčka bend
rychlost speed
kilometr kilometer
odjezd departure
rychlík train
nástupiště platform
zpoždění delay
příjezd arrival
pokus test
vynález invention
vědec scientist
laboratoř laboratory
výzkum research
objem volume
jednotka unit
délka length
litr liter
hmotnost weight
kilogram kilogram
váha scale
látka fabric
kov metal
prvek element
rtuť mercury
stupeň degree
plyn gas
kyslík oxygen
teplota temperature
důkaz evidence
článek article
jev phenomenon
energie energy
elektrárna plant
odpad trash
uhlí coal
vzduch air
znečištění pollution
zdroj source
nedostatek lack
planeta planet
vesmír universe
anděl angel
úsměv smile
pohled sight
slečna miss
večeře supper
miláček darling
rande date
kino cinema
růže rose
kamarád buddy
snoubenka fiancée
kamarádka friend
báseň poem
prsten ring
manželství marriage
svatba wedding
srdce heart
rameno shoulder
koleno knee
bolest pain
telefon telephone
výplata paycheck
sešívačka stapler
schůze meeting
peníze money
potravina food
cena price
zrcadlo mirror
sleva discount
velikost size
taška bag
dárek gift
pasta paste
drogerie pharmacy
kartáček brush
přání wish
život life
náhoda chance
smrt death
osud destiny
naděje hope
informace information
vzpomínka memory
případ case
víra faith
smysl sense
nesmysl nonsense
vztah relation
snaha effort
výsledek result
situace situation
galerie gallery
umění art
výstava exhibition
obraz painting
portrét portrait
štětec paintbrush
malíř painter
dražba auction
dřevo wood
kámen stone
socha statue
dílna workshop
sochař sculptor
píseň song
hymna anthem
žánr genre
zpěvák singer
skupina group
zpěvačka singer
hudba music
housle violin
publikum audience
klavír piano
zvuk sound
vystoupení performance
jeviště stage
vstupenka ticket
hra game
herec actor
režisér director
film film
princezna princess
pohádka tale
konec end
drak dragon
román novel
postava character
spisovatel writer
začátek beginning
příběh story
noviny newspaper
vyšetřování investigation
titulek headline
terorista terrorist
Korea Korea
střela missile
vměšování meddling
Rusko Russia
sankce sanction
stát state
